"","Front.Door","Top.Floor.Window","Back.Door","Forced.Entry","Unforced.Entry","House","Bank","Shop","Money","Jewellery","Electronics","Morning","Afternoon","Evening","Night","Monday","Tuesday","Wednesday","Thursday","Friday","Saturday","Sunday"
"C 1",1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
"C 2",0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
"C 3",1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
"C 4",1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
"C 5",1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
"C 6",1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
"C 7",1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
"C 8",1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
"C 9",0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
"C 10",0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
"C 11",0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
"C 12",0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
"C 13",0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"C 14",0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"C 15",0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0
"C 16",0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
"C 17",0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
"C 18",1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
"C 19",0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
"C 20",0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
"C 21",0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
"C 22",0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
"C 23",0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
"C 24",0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
"C 25",0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
"C 26",1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1
"C 27",0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
"C 28",0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
"C 29",1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
"C 30",0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0
"C 31",0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
"C 32",0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
"C 33",0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
"C 34",0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
"C 35",0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
"C 36",1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
"C 37",0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
"C 38",1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0
"C 39",1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0
"C 40",1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
"C 41",0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
"C 42",0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0
"C 43",0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
"C 44",0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0
"C 45",0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
"C 46",0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
"C 47",1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
"C 48",1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
"C 49",1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
"C 50",1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
